fa_0000|۱۴ م ژوئن است.
fa_0512|از جمله اولین هنرمندانی هستند که به نقاشیخط پرداختند
fa_0513|از چیزی نمیترسم زیرا تو همراه من هستی
fa_0514|و وقتی از قصیده دور می شوی تو را شگفتزده میکند
fa_0515|رانش زمین و ریزش کوه در جاده چالوس
fa_0516|می توانم این را در محفظه بار بگذارم، لطفا؟
fa_0517|راه زیادی برای پیاده رفتن است.
fa_0518|از حق تا ناحق چهار انگشت فاصله است
fa_0519|می توانم بپرسم آیا تو موافق هستی؟
fa_0520|بعد از او بیانسه خواننده آمریکایی در مکان دوم است
fa_0521|بعد از دقایق نامعلومی، او شروع به بهبودی کرد
fa_0522|ایزدداد
fa_0523|ریزنده آب یکی از صور فلکی منطقه البروج است
fa_0524|بعد با گرد هم آوردن گروههای مختلف فعالشان کنیم
fa_0525|از درد لاعلاجی بخرم میگه خانمباجی
fa_0526|از دست هدایتگرش برق خوشآمدگویی به جهانیان میدرخشد
fa_0527|می توانیم جداگانه پرداخت کنیم؟
fa_0528|بعضی کارهای داوطلبانه انجام می دهم.
fa_0529|می توانم چیزهایی را که خریدم عوض کنم؟
fa_0530|می توانم خواندن پیشنهاد کنم، پس؟
fa_0531|از راهنمایی شما سپاسگزارم.
fa_0532|رمضان مبارک ‎!
fa_0533|بفرمایید این نسخه شماست.
fa_0534|رنگ با آب بهصورت خمير در مىآيد سپس رقيق مىشود
fa_0535|رنگ مورد علاقه من بنفش است.
fa_0536|رنگین کمان هفت رنگ دارد.
fa_0537|رنگهاى روغنى معمولا بهصورت رنگهاى روغنى لولهاى هستند
fa_0538|می توانم صندلی ام را با شما عوض کنم؟
fa_0539|از رنگش زیاد خوشم نمیاد
fa_0540|می توانم صورتحساب را ببینم، لطفاً؟
fa_0541|از زمان و در نظر گرفتن شما متشکرم.
fa_0542|روآندا
fa_0543|می توانم یک اتاق یک نفره داشته باشم؟
fa_0544|بلافاصله شروع به لخته شدن میکند
fa_0545|سه چیز باید حذر کرد، دیوار شکسته، سگ درنده، زن سلیطه
fa_0546|از شما فورا درخواست می شود به هلند بیایید.
fa_0547|از شما میخواهم تا حرف های مرا ترجمه کنید
fa_0548|بلیت، لطفاً.
fa_0549|از فرصت ها استفاده کن قبل از آنکه موجب اندوه شود
fa_0550|روزهای کاری از دوشنبه تا جمعه است.
fa_0551|از کجا اتوبوس به سنت پترزبورگ بگیرم؟
fa_0552|از کجا تماس می گیرید؟
fa_0553|بلموپان
fa_0554|اینجا کلید اتاق شما است.
fa_0555|زانویم ضرب دیده است.
fa_0556|بله، پنج سال پیانو زده ام.
fa_0557|از کوزه همان برون تراود که در اوست
fa_0558|میتونی یک فروشگاه به من نشون بدی؟
fa_0559|زخم عمیق نیست.
fa_0560|بله، مطمئنا.
fa_0561|زیرا همه آن چیزها دامن ما را خواهند گرفت
fa_0562|زرد و قرمز نارنجی می سازند.
fa_0563|زرشک پلو
fa_0564|مثلاً بررسی تطبیقی تصوف در آثار ادبی ایران و عرب
fa_0565|مثلا در جانورشناسی به مقایسه حیوانات مختلف میپردازند
fa_0566|از مناطق پرخطر دوری کن
fa_0567|بله، من یک چمدان دارم.
fa_0568|زمان دقیق چند است؟
fa_0569|زمینه تخصص من تکنولوژی اطلاعات است.
fa_0570|مجبور بود همه ی آن احساسات را درون خود نگه دارد
fa_0571|مجبور شدم بخرم
fa_0572|مجموعه هنرهای زیبا هم نزد آنها عبارت بوده است از
fa_0573|مجموع واکنشهای شیمیایی که در بدن انجام میشه، حدود یک میلیون فرض کنیم
fa_0574|از همه پسرها متنفرم
fa_0575|بیماریهای حیوانی و انسانی
fa_0576|زنگ به زودی به صدا درمی آید.
fa_0577|محققان در جریان مطالعات آزمایشگاهی بر روی موش دریافتند
fa_0578|بنابراین آنان را از میوههایشان خواهید شناخت
fa_0579|مادهشتر خدا و نوبت آبخوردنش را حرمت نهيد
fa_0580|ژاژ خایید
fa_0581|بنیامین و آشا از صحنه خارج می شوند
fa_0582|بِنتالحسنی
fa_0583|ژاکت تنگ است.
fa_0584|بندرگاه کجا است؟
fa_0585|میخواستم بیاورم اما به تخممرغهایش نیاز دارم
fa_0586|اِسپند
fa_0587|بَهاءالدین
fa_0588|ساختمان در حال آتش گرفتن است!
fa_0589|به امید اینکه علائمش کاهش یابد
fa_0590|به این زودی نگو دیره منو دسته خدا نسپار
fa_0591|ساعتی ده پوند.
fa_0592|به این کارت میگن داری میرقصی
fa_0593|می خواهید شما را در لیست انتظار بگذارم؟
fa_0594|می خواهید شما رو در لیست ایمیل قرار دهیم؟
fa_0595|استکهلم
fa_0596|به بررسی متون ادبی و آثار هنری همعصر میپردازد
fa_0597|به بعضی ها حتی فحش هم نباید داد باید خندید و رد شد
fa_0598|به بیماری بسیار سختی دچار میشوند
fa_0599|ساعت محلی نه و سی و چهار دقیقه بعد از ظهر است.
fa_0600|به تدریج منجربه ممنوعیت کلی الکل شد
fa_0601|بهتر است که مسواک در جايی خشک مانند آشپزخانه نگهداری شود
fa_0602|ساعت نه خواهیم آمد.
fa_0603|بهترین رفیق پسر، باید پدرش باشه
fa_0604|بهترین فعالیت برای انجام دادن در کمپ چیست؟
fa_0605|به تو چه ربطی داره؟
fa_0606|می خواهم با والدینم تماس بگیرم.
fa_0607|می خواهم بروم ایستگاه چرینگ کراس.
fa_0608|به جای صابون جامد از نوع مايع و از شامپو بدن استفاده کنيد
fa_0609|می خواهم بلیط فصلی را تجدید کنم، لطفاً.
fa_0610|می خواهم ده پوند در آن بگذارم.
fa_0611|می خواهم ده لیتر داشته باشم.
fa_0612|به خاطر همین گفتی باهات کار خیلی واجب دارم؟
fa_0613|سپاس از زحماتتون
fa_0614|می خواهم سیب زمینی سرخ کرده و میلک شیک سفارش دهم.
fa_0615|آسمان دارد صاف می شود.
fa_0616|به خصوص وقتی اضطراب یا استرس دارم
fa_0617|به خودم قول داده ام که به عنوان کمیسر بهداشتی نیویورک
fa_0618|ستاره درحال صحبت کردن به اتاق می رود
fa_0619|می خواهم یک چک را کنسل کنم.
fa_0620|به دم ماهی زشت و سیاه ختم شود
fa_0621|می خواهم یک میز برای دو نفر ساعت هفت بعدازظهر رزرو کنم.
fa_0622|می خواهم کمی کتاب شعر ببینم.
fa_0623|اَسنا
fa_0624|می خواهم کمی کتاب هنری بخرم.
fa_0625|یاشار این زنتو بردار ببر داره زیادی حرف میزنه
fa_0626|آشا سر کاظم را خم میکند و آب بر رویش میریزد
fa_0627|سرخاب قرمز زرشکی رو روی لبهام
fa_0628|می خواهم هدیه ای به تو بدهم.
fa_0629|اشپوخت
fa_0630|سرعت سنج کار نمی کند.
fa_0631|مداد رنگى کاربردهاى بسيار وسيعى دارد
fa_0632|به ستوه آمده از این حجم از ادب و نزاکت
fa_0633|اَشجان
fa_0634|به سرعت آنجا خواهیم رسید.
fa_0635|سرگرمی تو چیست؟
fa_0636|به سمت چپ نگاه کن.
fa_0637|سس کره، زعفران و آبلیمو
fa_0638|می دونست، منم شاکی
fa_0639|آشنایی با ابزار و لوازم ذغال و نحوه کارکرد هر یک
fa_0640|به طوری که شعرشان به لحاظ لفظی یا معنایی شبیه هم باشد
fa_0641|آشور
fa_0642|مرا در رویاهایت سهیم کن
fa_0643|مراقب باش، خیابان ها بسیار لغزنده هستند.
fa_0644|سَغ برداشت
fa_0645|سفارش داد
fa_0646|سفارش شما به سرعت ممکن در حال پردازش است.
fa_0647|سفارش شما ظرف مدت پنج دقیقه روی میز خواهد بود.
fa_0648|مرتب مریض می شدم، نمی توانستم فکر کنم، نمی توانستم اتفاقات را بخاطر بیاورم
fa_0649|به کمبریج رفتم.
fa_0650|مرحلههای تاریخی فراوانی در بررسی ادبیات
fa_0651|مردایی که خوبن، آدمای ضعیفین، حالم رو بهم می زنن
fa_0652|اصول و مبانی آن را وضع کردند و اهداف آن را مشخص کردند
fa_0653|مردی هستم که کتاب جهان به مثابه اراده و تصور را نوشته است
fa_0654|به مدت یک سال.
fa_0655|به معنای واقعی کلمه با سرعت حلزون حرکت می کنند
fa_0656|اطمینان حاصل کنید که جلیقه نجات پوشیده اید.
fa_0657|سگ برینه به قبر پدرت
fa_0658|سیگنال خیلی ضعیف است.
fa_0659|سیگنال ندارم.
fa_0660|سلام آقای دکتر دختر من سه سالشه و لوزه سوم داره
fa_0661|اعتماد داشت
fa_0662|سلام، حالت چطوره؟
fa_0663|اعداد به تنهایی حضور موجودات فضایی را معقول میداند
fa_0664|میزان تجمیع شده اکنون انرژی اضافی بیشتری را به دام میاندازد
fa_0665|اعضای تیم بسکتبال چه کسانی هستند؟
fa_0666|میزان درآمد در رتبه بندی مجله فوربس نقش مهمی دارد
fa_0667|سلول روی سلول درست مثل آجر چیدن
fa_0668|مزايای زايمان طبيعی
fa_0669|مست در حس، تنها با ستاره های آسمون
fa_0670|اغلب دوستان من اعضای باشگاه هستند.
fa_0671|مستقیم جلو.
fa_0672|به هر حال ممنونیم از قرصها، بخصوص آنتیبیوتیکها
fa_0673|مسجد آقا نور
fa_0674|به همسران مردان مبتلا در مورد مراقبت از خودشان مشاوره میدادیم
fa_0675|مسجد جارچی
fa_0676|مسجد شاه
fa_0677|افراد سالمند در تمام جوامع در خطر هستند
fa_0678|به ویژه در بین نسل جوان در رابطه با عدم فعالیت جهانی وجود دارد
fa_0679|به ویژه در کف دست ها، زیر بغل، و کف پا
fa_0680|بیهوش میشود
fa_0681|اَفراسیاب
fa_0682|سه راه بپیچ سمت راست.
fa_0683|مشقاسم بیراه نمیگه.
fa_0684|آفرین به خاطر ورود به دانشگاه!
fa_0685|بوگوتا
fa_0686|اَفروخته
fa_0687|می شود پنجره را باز کنم؟
fa_0688|بيشتر تصويرگران و طراحان تبليغاتى
fa_0689|مصوب فرهنگستان هم هست
fa_0690|سوپ دریایی، لطفاً.
fa_0691|مطمیئنم شما والدین فوق العاده ای خواهید بود.
fa_0692|افسانهها میگن سگها واسطهی دنیای زندهها با مردههان
fa_0693|سوپ کشک
fa_0694|سوپ گوجه
fa_0695|سوت زد
fa_0696|سی و چهار، سی و پنج، سی و شش.
fa_0697|معذرت میخواهم درباره آن کلمه
fa_0698|معراج از قدم ساخت
fa_0699|معروف به مخمرها
fa_0700|پیاز را سرخ کرده و نمک و زردچوبه را به آن اضافه میکنیم
fa_0701|اَفنان
fa_0702|پاسخ داد
fa_0703|سوفله
fa_0704|سووا
fa_0705|سوئد
fa_0706|اقدامات ماجراجویانه
fa_0707|مقداری سیب در یخچال وجود دارد.
fa_0708|مقداری شوینده نیاز دارم.
fa_0709|مقداری کیسه زباله نیاز دارم.
fa_0710|شاید هنوز به پول اهمیت می دهید
fa_0711|شاید واقعن اون چیزی که مهمه تغییر رویکرد جدی در درمانه.
fa_0712|مکاتب ادبیات تطبیقی
fa_0713|پیتزا دوست دارید؟
fa_0714|پجاه و چهار، پنجاه و پنج، پنجاه و شش.
fa_0715|شامل صبحانه است؟
fa_0716|ای که معنی اسم تو آسمون پاکه
fa_0717|اکوادور
fa_0718|شب بخیر و رویاهای شیرین ببینی!
fa_0719|میگن جنازه پسرش پیدا شده همهی اهل محل میرن برای تسلیت شما نمییاین؟
fa_0720|اگر توصیه من را دنبال کنید، شما موفق خواهید شد.
fa_0721|ملخها كه رهبری ندارند ولی در دستههای منظم حركت میكنند
fa_0722|میل دارید هیچ چیزی بخورید؟
fa_0723|پرشدگی دندانم را از دست داده ام.
fa_0724|اگر واقعا مسلح به این مِنوتوکسین مخفی بودیم
fa_0725|پیرهن زرشكی ستاره هم خیلی بهش میاد
fa_0726|میلیون ها مایل
fa_0727|پروژه رو سروقت میخوام.
fa_0728|پروک
fa_0729|پزشکی خیلی هم علم قطعی و مبتنی بر دو دوتا چهارتا نیست
fa_0730|ممکن است یک جفت جوراب به من بدهید؟
fa_0731|ممکن است یک کپی از گزارش تصادف داشته باشم؟
fa_0732|شش تای اول پروازهای آزمایشی بدون سرنشین بودند
fa_0733|شش تکه ژامبون می خواهم.
fa_0734|ممکن است لپ تاپ را به من بدهید؟
fa_0735|ممکن است لطفاً این بسته را هرچه سریع تر بفرستيد؟
fa_0736|پس پند ده، اگر پند سود بخشد
fa_0737|شصت و چهار، شصت و پنج، شصت و شش.
fa_0738|شصت و یک، شصت و دو، شصت و سه.
fa_0739|ممکن است لطفاً کمی آب به رادیاتور اضافه کنید؟
fa_0740|الان باید اینجا یک جراح گوش و حلق و بینی داشتیم
fa_0741|پس چرا نمیشه از شَرّ دیابِت و پُرفشاری خون خلاص شد؟
fa_0742|ممکن است لطفاً مایع ترمز را پر کنید؟
fa_0743|ممکنه لطفاً یک گواهی ریز حساب بانکی بدهید؟
fa_0744|شعر حماسی و تراژدی و
fa_0745|پسرا هرچی با هم صمیمی تر باشن بیشتر به هم فحش میدن
fa_0746|الآن وقت مناسبی است که صحبت کنیم؟
fa_0747|پسری كه به دنبال زنان بدكاره میرود اموالش را بر باد میدهد
fa_0748|پسره از اوناس که یه من ژل مالیدن به سرشون
fa_0749|پس سعی نكن مث بچه ها
fa_0750|شعر نقاشی پیکرتراشی و رقص میپردازد
fa_0751|پس من دارم تقاص کارام رو پس می دم؟
fa_0752|شکل مسیر بیانگر گردشهای دشوار میباشد
fa_0753|اِلزا
fa_0754|شله زرد
fa_0755|شما اخراج هستید!
fa_0756|من از دماغم برای بو کردن استفاده می کنم.
fa_0757|من از شانس گسترش دانش خود قدردانی می کنم.
fa_0758|من از کار کردن در فضای باز لذت می برم.
fa_0759|شما باید برای خودتان یک شغل جدید پیدا کنید.
fa_0760|من استقبال می کنم از فرصت برای بحث جزییات بیشتر.
fa_0761|پلاکاشون، مشخصات و لباسا هفتهی بعد تشیع میشن، قبلش میتونیم بریم
fa_0762|من اسموتی پاپایا می خواهم، لطفا.
fa_0763|پل خواجو
fa_0764|پل مالری که استاد سمبل در ادبیات فرانسه است میگوید
fa_0765|من آکاردئون می نوازم.
fa_0766|من اگه پنج تا پسر دیگه هم داشتم اسم همشون رو میذاشتم بِهرنگ!
fa_0767|من امشب خانه می مانم.
fa_0768|پهلوی هم قرار دهد و یا موجودی بسازد که
fa_0769|پودگوریتسا
fa_0770|پورت لوئیس
fa_0771|شماره فکس چیست؟
fa_0772|شما سلیقه فوق العاده ای در لباس دارید.
fa_0773|شما هر روز قانونشکنی میکنید
fa_0774|آماده اتفاقهای پیشبینی نشده باشید، اما قوی و امیدوار باقی بمانید
fa_0775|تا بهت بگم متاسفم، برای همه ی اون کارهایی که کردم
fa_0776|شناخت چرخه و جدول سایه روشن
fa_0777|تایپه
fa_0778|من آووکادو دوست دارم.
fa_0779|اُمالبنین
fa_0780|من باید بروم و دوستانم را پیدا کنم.
fa_0781|شهاب پنجاه و نهیه، چه سالی میشن؟
fa_0782|شهاب تلاش می کند سوزش و درد را مخفی کند
fa_0783|شهر پراگ تختگاه و دارالاماره جمهوری چک در یک آتشسوزی نابود شد
fa_0784|شهلا تو رو خدا بگو چی شده؟
fa_0785|تاریخ می خوانم.
fa_0786|اَمجد
fa_0787|من با نظر شما موافق نیستم.
fa_0788|امید روی صندلی ضرب گرفته است و آواز می خواند
fa_0789|امید سرش را پائین می اندازد و از در خارج می شود
fa_0790|یک خودکار بیاورم.
fa_0791|تا فرودگاه چقدر هزینه خواهد داشت؟
fa_0792|من برای تقریبا دو سال سرپرست او بودم.
fa_0793|امیدوارم اقامت لذت بخشی داشتید.
fa_0794|امیدوارم تمام آرزوهایت برآورده شوند.
fa_0795|صحيفههاى ابراهيم و موسى
fa_0796|صدام بزن که مریض صداتم
fa_0797|صد سال تنهایی رو خوندم
fa_0798|تبدیل کرد
fa_0799|صد ضرب در ده هزار است.
fa_0800|تبریک به خاطر قبول شدن در امتحان رانندگیت!
fa_0801|صندلی کنار پنجره دوست دارم.
fa_0802|من به تجویز یک آرام بخش نیاز دارم.
fa_0803|امیرپاشا
fa_0804|امیرپویا
fa_0805|صندوق پست کجاست؟
fa_0806|من به راکفلر سنتر می روم.
fa_0807|ترافیک امروز وحشتناک بود.
fa_0808|امیرحِسام
fa_0809|امیرذوالفقار
fa_0810|ضروریات پذیرش چیست؟
fa_0811|من به نژادپرستی اعتراض خواهم کرد
fa_0812|طالبی را به تکه های ضخیم تقسیم کن.
fa_0813|تردد در محورهای استان مازندران ممنوع است
fa_0814|من به هیچ دارویی حساسیت ندارم.
fa_0815|طبل و عَلَم و کوس و آنچه به آن روَد که سالاران را دهند
fa_0816|امیرسهیل
fa_0817|طی چند هزار سال، همهی فرهنگها در سراسر جهان
fa_0818|طرح روى مقواى کارتن منتقل شود
fa_0819|طرف چپ شکمم درد میکنه شبها نمیتونم روش بخوابم
fa_0820|ترک کرده ام.
fa_0821|امیرعرفان
fa_0822|تریلیون
fa_0823|طول عمر هر سلول چشایی انسان ۱۰ روز است
fa_0824|عادت بدی که کمتر اکسیژن مصرف کنن، میتونی نفست رو بیشتر حبس کنی
fa_0825|من پیشتم و دلیلی نداره از چیزی بترسی
fa_0826|من پیشنهاد می کنم با جیا صحبت کنی.
fa_0827|تصدیق میکنه که پزشکی یک رشته غیر دقیق و مبهمه
fa_0828|تصمیم گرفت
fa_0829|عیبی ندارد.
fa_0830|تصویر شهاب را
fa_0831|عدالت اجتماعی در مرکز توجه سیاست ملی بهداشتی زیمباوه بود
fa_0832|عدس پلو
fa_0833|عدم توازن غیر ژنتیکی پروتئین
fa_0834|تعداد دانشجوهای خارجی غیرسفید پوست،
fa_0835|من تمام قلبم عاشق تو هستم.
fa_0836|تعداد مرگومیر قطعا از مرگهای ناشی از سارس بیشتر است
fa_0837|امیروحید
fa_0838|عزیمت کرد
fa_0839|من تو را به عروسی دعوت می کنم.
fa_0840|عضو بسیار حساسی است
fa_0841|تقاطع راه آهن و خیابان
fa_0842|تقریبا پنج دقیقه پیاده روی است.
fa_0843|عکس فرستادم گفتید نیاز به عمل نداره
fa_0844|عکس گرفتن مجاز است؟
fa_0845|علاوه بر این، سلولهای بنیادی خاصی در مغز، خون و غیره وجود داره
fa_0846|تقریباً کل نیمه شرقی ایالات متحده
fa_0847|تقصیر داییم نبود، خانومش خیلی چیز بود، چی می گن
fa_0848|یعنی ادبیات یک زبان باید با ادبیات زبان دیگر مقایسه شود
fa_0849|من خوشحال می شوم شما را ملاقات کنم، آقای دیه گو گارسیا.
fa_0850|تقویت ارتباط بین کشورهای جهان که حاصل پیشرفت علمی است
fa_0851|یعنی همه متولدای دی اینجورین؟
fa_0852|امکان آلودگی رادیواکتیو وجود دارد
fa_0853|تک سایز و تک رنگ
fa_0854|من دخترك گل فروشی را می بینم که چشمانش محبت آرزو می کند
fa_0855|غذای مخصوص خانه چیست؟
fa_0856|تلگرام آواهای مشترک را جستجو کنید
fa_0857|فاقد دولت مرکزی و ضرب سکه بودند
fa_0858|من در یک فروشگاه کار میکنم.
fa_0859|من در هتل فور سیزن می مانم.
fa_0860|تمدن بینالنهرین و مصریان باستان در تمام طول سال
fa_0861|فردا ساعت ۲ بعدازظهر نمی توانم برسم.
fa_0862|من دنبال دستکش هایی می گردم.
fa_0863|فردا، ما زمین را شخم می زنیم.
fa_0864|فردی پیش یک روانپزشک میرود و میگوید
fa_0865|من دنبال یک قطعه جواهر کوچک می گردم.
fa_0866|فرم اعلام گمرک را پر کنید.
fa_0867|فرم پره بینی میزان قوص خطوط و فاصله سوراخ بینی نسبت به یک دیگر
fa_0868|من دنده گاو می خورم، لطفا.
fa_0869|این آبجو برای همه طبقات اجتماعی در دسترس بود
fa_0870|توارد یعنی شعر سرودن دو شاعر بدون اطلاع از همدیگر
fa_0871|این اتاق خیلی سروصدا دارد.
fa_0872|این اتاق خیلی کوچک است.
fa_0873|این اتاق شماست.
fa_0874|فروخت
fa_0875|من دو پا برای دویدن دارم.
fa_0876|فروماژ
fa_0877|تو الان داری منو میخری؟
fa_0878|فَسانیدن
fa_0879|من دوست دارم توسط یک زن معاینه شوم.
fa_0880|تو باید ویلیام باشی.
fa_0881|فضاهايى شبيه به آبرنگ را مىتوان با آنها ايجاد نمود
fa_0882|من دوست دارم فوتبال آمریکایی تماشا کنم.
fa_0883|فقط با نسخه موجود است.
fa_0884|فقط خشکشویی
fa_0885|تو به کدام کالج میروی؟
fa_0886|فقط قربانی تان را تخریب نکردید.
fa_0887|فقط یک آپارتمان یک خوابه می خواهم.
fa_0888|تو چشم های زیبایی داری.
fa_0889|تو چند تا بچه داری؟
fa_0890|این آهنگها چیه گوش میدی؟
fa_0891|فكر می کنم حرف تو رو گوش می ده
fa_0892|این بازیگر یکی از مورد علاقه های من نیست.
fa_0893|فکر کردی من شکننده ام،ولی نمی تونی منو بشکونی
fa_0894|فکر کردی من یه بچه کوچیکم؟
fa_0895|من ساعت یک و نیم بعدازظهر بازخواهم گشت.
fa_0896|تور راهنمای بعدی چه موقع است؟
fa_0897|تو رو قرآن اگه چیزی شده بگو.
fa_0898|تو شانس آوردی که تیر، کجکی خورده توی کتفت!
fa_0899|این پرواز از چه گیتی ترک می کند؟
fa_0900|تو غَرّه بدان مشو که می مینخوری صد لقمه خوری که می غلامست آنرا
fa_0901|راه نروید!
fa_0902|من سوپ پیاز فرانسوی می خواهم.
fa_0903|توقفی وجود دارد؟
fa_0904|انتخاب کرد
fa_0905|من شاهد مرگ همکاران ودوستان بودم
fa_0906|انتظارات حقوق شما چیست؟
fa_0907|فیلم برنده جایزه در فستیوال کانس شد.
fa_0908|من شما را به او وصل میکنم.
fa_0909|تو مترو همه منو چپچپ نگاه میکردن.
fa_0910|من شما را به یک نوشیدنی دعوت می کنم.
fa_0911|من شنیده ام آتن مکان زیبایی است.
fa_0912|من صبح ترک می کنم.
fa_0913|من طلای هجده عیار را ترجیح می دهم.
fa_0914|اینجا بر دروازههای موجزده ما
fa_0915|منظورم این بود که با چه روشی میشه نفس رو بیشتر حبس کرد؟
fa_0916|قاف، سوگند به قرآن باشكوه
fa_0917|قایقها پشت سرمون میاومدن
fa_0918|قانع به یک استخوان ، چو کرکس بودن
fa_0919|من عضو باشگاه هستم.
fa_0920|قحطیها و زلزلهها در جایهای گوناگون خواهد آمد
fa_0921|قدرت انتقال پیام اثر چند برابر می شود
fa_0922|قدرت عذرخواهی را کشف کردم
fa_0923|جایگاه یازده برای ده و بیست و دو دقیقه به وارسا.
fa_0924|جانی دپ هنرپیشه و بازیگر فیلم هایی مثل آلیس در سرزمین عجایب
fa_0925|قرار گذاشتم جزوه ها رو ازش بگیرم
fa_0926|جدول زمانی قطارها کجا است؟
fa_0927|قرقاول دوست دارم.
fa_0928|قرمز و آبی ارغوانی می سازند.
fa_0929|آن جفت دمپایی را به من نشان دهید، لطفا.
fa_0930|جلو آینه به خودم گفتم به روت نیار
fa_0931|جلویت را نگاه کن!
fa_0932|من قبلاً این بیماری را نداشتم.
fa_0933|قصیده های معلقه نام هفت قصیده از شاعران فصیح عرب است
fa_0934|جمهوری دمکراتیک کنگو
fa_0935|جنگ کرد
fa_0936|قیمت هر شب چند است؟
fa_0937|این خط اشغال است.
fa_0938|قند موجود در میوههای رسیده موجودات میکروسکوپی را جذب میکند
fa_0939|من یک پارچ لیموناد می خواهم.
fa_0940|این خیلی سرد است.
fa_0941|من یک پالت سایه می خواهم.
fa_0942|من یک تاج گل از گل های تازه برای عروس نیاز دارم.
fa_0943|قومی بر قوم دیگر و حکومتی بر حکومت دیگر بر خواهند خاست
fa_0944|این خواهر او است.
fa_0945|من یک تکه پای سیب میخواهم.
fa_0946|كلاغها چشمانش را از كاسه در میآورند و لاشخورها بدنش را میخورند
fa_0947|من یک دست بلندگو برای کامپیوترم نیاز دارم.
fa_0948|من یک دسته گل رز قرمز می خواهم.
fa_0949|من یک دفترچه یادداشت می خواهم.
fa_0950|من یک دیکشنری توضیحی نیاز دارم.
fa_0951|این دستکش ها خیلی تنگ هستند.
fa_0952|من کرفس دوست دارم.
fa_0953|این دفعه سگها، زنده ها رو به زیر خاک هدایت میکنن
fa_0954|چراغ راهنما
fa_0955|من یک سگ و دو گربه دارم.
fa_0956|من یک فنجان دیگر قهوه می خواهم.
fa_0957|آن را در مدرسه یاد گرفتم.
fa_0958|آن را ضدعفونی کنید، لطفا.
fa_0959|من یک لیتر روغن آفتابگردان می خواهم.
fa_0960|من کلیدهایم را در ماشین جا گذاشته ام.
fa_0961|این رجحانی برای من بود که بسیار احساس غرور می کنم
fa_0962|انرژی خیلی کمی دارم.
fa_0963|یکی از معماران توافقنامه اقلیم پاریس
fa_0964|من کمی انجیر کارامل شده می خواهم.
fa_0965|چشمههای آب گرم تفلیس در گرجستان
fa_0966|من کمی سوپ گوجه فرنگی می خورم، لطفا.
fa_0967|این سفارش من نیست.
fa_0968|آن سمت چپ شما خواهد بود.
fa_0969|کامپیوتر من ویروس دارد.
fa_0970|من یک نقشه مسیرهای پیاده روی این منطقه را می خواهم.
fa_0971|من یک همستر دارم.
fa_0972|این شامپانزه، ناخواسته روی یک فرآیند گیر افتاده است
fa_0973|چطور کامپیوتر را روشن کنم؟
fa_0974|من گیلک هستم
fa_0975|یکی بخرید یکی نصف قیمت ببرید
fa_0976|من گوشه آکسفورد استریت و تاتنهام کورت رود هستم.
fa_0977|این عادیه که من از خودم حرف بزنم، متاسفم
fa_0978|این علائم در عدم تحمل لاکتوز شایع است
fa_0979|من ماهی قزل آلا دودی می خورم.
fa_0980|چقدر طول می کشد به اوساکا برسد؟
fa_0981|کبوتری نشسته است که از دیار پر گلت شکوفهای گرفتهاست فضای با صفای
fa_0982|یک پای ثابت در بیمارستان های سراسر جهان
fa_0983|این قطار اینجا پایان می یابد.
fa_0984|من میخواستم یک فیلم کمدی ببینم.
fa_0985|کتاب الاغانی از ابوالفرج اصفهانی پر است از انواع شعر غنایی
fa_0986|من می خواهم با سئول تماس بگیرم.
fa_0987|چگونه با كسى كه در گهواره و كودک است سخن بگوييم؟
fa_0988|این کارت پستال را به صندوق نامه بیندازید، لطفا.
fa_0989|من می خواهم چند کتاب رنگ آمیزی ببینم.
fa_0990|چند تا تخم مرغ نیاز دارید؟
fa_0991|من می خواهم یک بند ساعت چرمی ببینم.
fa_0992|من می خواهم یک تماس با هزینه طرف مقابل بگیرم.
fa_0993|من می خواهم یک جفت چکمه های ولینگتون را ببینم.
fa_0994|من می خواهم یک رنگ روشنتر را ببینم.
fa_0995|این یک موقعیت موقت یا دائمی است؟
fa_0996|کجا صبحانه می خوریم؟
fa_0997|من می خواهم یک کرونومتر ببینم.
fa_0998|چه ابزار موسیقی می نوازی؟
fa_0999|کجا می توانم برای یک لحظه بنشینم؟
